Date of Post,Headline
"October 13, 2023",Fairfax special grand jury indicts officer who killed man near Tysons mall
"October 12, 2023","Man shoots two people he says robbed him in D.C., police say"
"October 12, 2023","At House subcommittee hearing, agreement that D.C.’s in a crime crisis"
"October 12, 2023","Once again, House GOP members plan to take aim at D.C. crime"
"October 11, 2023",Police identify woman fatally shot in Laurel
"October 10, 2023",Morgan State to limit open access to campus after shooting
"October 10, 2023",Man charged in killing of woman who was found shot in car at Va. hospital
"October 10, 2023",Longtime D.C. criminal defense lawyer indicted on sex assault charges
"October 10, 2023","A month after escaping D.C. police, an accused killer remains at large"
"October 10, 2023","Teen fatally shot in Fort Washington area, police say"
"October 10, 2023",Teen slain in Prince George’s; school postpones game
"October 10, 2023","D.C. man fatally shot in Capitol Heights area of Md., police say"
"October 10, 2023","Man is fatally shot in Prince George’s County, Md."
"October 9, 2023","Fatal shooting reported in Prince George’s, police say"
"October 9, 2023","Police, family identify four teens killed in fiery Prince George’s crash"
"October 9, 2023","Sugarloaf Mountain to reopen with new hours, cameras after burglary attempt"
"October 9, 2023",Police identify man fatally shot in Northwest Washington
"October 8, 2023","Man shot and killed in Maryland, son charged with murder"
"October 8, 2023","Two young men injured in shooting at Bowie State University, police say"
"October 7, 2023","Man fatally shot Saturday afternoon in Brightwood, police say"
"October 6, 2023",Two men sentenced in the stray-bullet killing of 10-year-old D.C. girl
"October 6, 2023",D.C. woman who was fatally shot had reported domestic abuse
"October 6, 2023",Police seek persons of interest in Morgan State shooting that injured 5
"October 6, 2023","Two fatally shot in Oxon Hill area, police say"
"October 6, 2023",Man found guilty in fatal stabbing and burning of Fairfax County woman
"October 6, 2023",Man fatally shot in Southeast Washington
"October 6, 2023",Two men arrested in fatal summer shooting in Prince George’s County
"October 5, 2023",‘There wasn’t a delay’: D.C. 911 chief defends response to District Dogs flood
"October 5, 2023",Police target fugitives for violating release conditions
"October 5, 2023",Victim of school bathroom sexual assault sues Va. school district
"October 4, 2023",Morgan State cancels homecoming events as campus reels after shooting
"October 4, 2023",Man charged in gunfight outside D.C. waterfront restaurant
"October 4, 2023","Man arrested in May killing of 2-year-old, police say"
"October 4, 2023",U-Md. bus strikes pole; multiple minor injuries reported
"October 4, 2023","D.C. police arrest man, 46, in July killing"
"October 4, 2023","Five people, four of them students, wounded in shooting at Morgan State University"
"October 4, 2023","After chase and crash, passersby aid arrest in Old Town Alexandria"
"October 3, 2023",Police identify man found fatally shot in McPherson Square in downtown D.C.
"October 3, 2023",Carjacking of congressman renews cries to quell D.C. crime
"October 3, 2023","Texas congressman carjacked in Southeast Washington, authorities say"
"October 2, 2023","Man charged with murder after body is found in Va. park, police say"
"October 2, 2023",Survivor of 2022 D.C. sniper attack sues gunmakers over military-style ads
"October 1, 2023",Man charged in Sunday morning homicide in D.C.
"October 1, 2023","SUV that crashed into tree in Md., killing 4, had been stolen, police say"
"September 30, 2023",Upper Marlboro man arrested in fatal shooting of girlfriend
"September 29, 2023","Four found dead after fiery Prince George’s crash, officials say"
"September 29, 2023",Former ABC News journalist gets 6-year sentence in child pornography case
"September 29, 2023",Virginia man sentenced to 27 years for 2005 rape of 12-year-old D.C. girl
"September 29, 2023",D.C. youth convicted of murder in shooting at Juneteenth music festival
"September 29, 2023",Doctoral student with ‘obsession’ flew to D.C. to kill her ex-boyfriend
"September 29, 2023","Suspect arrested in Baltimore CEO’s death, police say"
"September 29, 2023","D.C., Va. men killed in Wednesday night shooting in Northeast Washington"
"September 29, 2023",Deaths of two people in separate D.C. fires ruled homicides
"September 29, 2023",Understanding the District’s rising homicide count
"September 28, 2023","List of additional homicides in D.C. includes 2 infants, 88-year-old man"
"September 28, 2023",PSA from the U.S. attorney in Maryland spotlights toll of gun violence
"October 4, 2023","After chase and crash, passersby aid arrest in Old Town Alexandria"
"October 3, 2023",Police identify man found fatally shot in McPherson Square in downtown D.C.
"October 3, 2023",Carjacking of congressman renews cries to quell D.C. crime
"October 3, 2023","Texas congressman carjacked in Southeast Washington, authorities say"
"October 2, 2023","Man charged with murder after body is found in Va. park, police say"
"October 2, 2023",Survivor of 2022 D.C. sniper attack sues gunmakers over military-style ads
"October 1, 2023",Man charged in Sunday morning homicide in D.C.
"October 1, 2023","SUV that crashed into tree in Md., killing 4, had been stolen, police say"
"September 30, 2023",Upper Marlboro man arrested in fatal shooting of girlfriend
"September 29, 2023","Four found dead after fiery Prince George’s crash, officials say"
"September 29, 2023",Former ABC News journalist gets 6-year sentence in child pornography case
"September 29, 2023",Virginia man sentenced to 27 years for 2005 rape of 12-year-old D.C. girl
"September 29, 2023",D.C. youth convicted of murder in shooting at Juneteenth music festival
"September 29, 2023",Doctoral student with ‘obsession’ flew to D.C. to kill her ex-boyfriend
"September 29, 2023","Suspect arrested in Baltimore CEO’s death, police say"
"September 29, 2023","D.C., Va. men killed in Wednesday night shooting in Northeast Washington"
"September 29, 2023",Deaths of two people in separate D.C. fires ruled homicides
"September 29, 2023",Understanding the District’s rising homicide count
"September 28, 2023","List of additional homicides in D.C. includes 2 infants, 88-year-old man"
"September 28, 2023",PSA from the U.S. attorney in Maryland spotlights toll of gun violence
