Date of Post,Headline
"May 3, 2023",New hearings granted after Md. judge negotiated job with prosecutors
"May 3, 2023",Man charged repeatedly with assaulting girlfriend is arrested in her death
"May 3, 2023",Man slain in city’s third homicide in three days
"May 2, 2023","Teen driving over 120 mph loses control, slams into Va. police officer"
"May 2, 2023",She noticed her scooter was gone. Then she heard gunshots.
"May 2, 2023",Silver Spring man charged with murder in Prince George’s County
"May 2, 2023","Prince George’s police officer guilty of assault, misconduct in office"
"May 2, 2023","Stabbing suspect dies after walking into traffic, Maryland police say"
"May 2, 2023","Man is killed near National Arboretum, police say"
"May 6, 2023","Md. man charged with murder in April homicide, police say"
"May 6, 2023","Md. man charged with murder, arson after fatal shooting, police say"
"May 6, 2023","Seven slayings reported in seven days in District, according to police"
"May 5, 2023","Two slain in Annapolis area of Md.; assailant kills himself, police say"
"May 5, 2023",18-year-old man killed Thursday afternoon in Southeast D.C.
"May 5, 2023","12-year-old charged in 9 separate D.C. carjackings, robberies, assaults"
"May 5, 2023","Her son killed by police, a Black mother reluctantly becomes an advocate"
"May 4, 2023",Prosecutor alleges Md. parents watched teen daughter ‘slowly die’
"May 4, 2023",Man found dead in apparent homicide in Maryland apartment after fire
"May 4, 2023",Md. police seek 3 juveniles after attempted shooting on school bus
"May 4, 2023","Man and woman killed in separate shootings in D.C., police say"
"May 3, 2023",New hearings granted after Md. judge negotiated job with prosecutors
"May 3, 2023",Man charged repeatedly with assaulting girlfriend is arrested in her death
"May 3, 2023",Man slain in city’s third homicide in three days
"May 2, 2023","Teen driving over 120 mph loses control, slams into Va. police officer"
"May 2, 2023",She noticed her scooter was gone. Then she heard gunshots.
"May 2, 2023",Silver Spring man charged with murder in Prince George’s County
"May 2, 2023","Prince George’s police officer guilty of assault, misconduct in office"
"May 2, 2023","Stabbing suspect dies after walking into traffic, Maryland police say"
"May 2, 2023","Man is killed near National Arboretum, police say"
"May 2, 2023","Man slain on Jay Street, D.C. police say"
"May 1, 2023",Man fatally shot in District Heights identified as Hyattsville resident
"May 1, 2023",Arlington man charged with killing 3-month-old girl
"May 1, 2023",Va. man gets 10-year sentence in fatal Alexandria crash
"April 28, 2023","Va. man fatally shot wife and her brother, then killed himself, police say"
"April 28, 2023",3-year-old abducted from Tysons Corner Center play area by stranger
"April 28, 2023",Man who killed Va. military couple sentenced to life in prison
"April 28, 2023","Man charged with murder in shooting of teen while driving, police say"
"April 28, 2023","Man, 27, killed Thursday night in Southeast D.C., police say"
"April 28, 2023","A fight over french fries ended in a fatal shooting, but who fired the gun?"
"April 27, 2023","Three people found fatally shot inside Fairfax County home, police say"
"April 27, 2023",Bowser announces national search to replace outgoing D.C. police chief
"April 27, 2023",Charge dropped against man seen being beaten by D.C. firefighters
"April 26, 2023","D.C. firefighters caught on video in altercation, department investigating"
"April 26, 2023","D.C. police chief Robert Contee is retiring, will take job with FBI"
"April 26, 2023",Teen guilty in shooting of Commanders player Robinson back in custody
"April 26, 2023",D.C. settles suit brought by 2 journalists detained during Trump inauguration
"April 25, 2023",Special grand jury to probe police shooting of unarmed man near Tysons
"April 24, 2023","Motorcyclist dies after three crashes, Virginia police say"
"April 22, 2023",One dead in fire at Northeast Washington apartment building
"May 2, 2023","Man slain on Jay Street, D.C. police say"
"May 1, 2023",Man fatally shot in District Heights identified as Hyattsville resident
"May 1, 2023",Arlington man charged with killing 3-month-old girl
"May 1, 2023",Va. man gets 10-year sentence in fatal Alexandria crash
"April 28, 2023","Va. man fatally shot wife and her brother, then killed himself, police say"
"April 28, 2023",3-year-old abducted from Tysons Corner Center play area by stranger
"April 28, 2023",Man who killed Va. military couple sentenced to life in prison
"April 28, 2023","Man charged with murder in shooting of teen while driving, police say"
"April 28, 2023","Man, 27, killed Thursday night in Southeast D.C., police say"
"April 28, 2023","A fight over french fries ended in a fatal shooting, but who fired the gun?"
"April 27, 2023","Three people found fatally shot inside Fairfax County home, police say"
"April 27, 2023",Bowser announces national search to replace outgoing D.C. police chief
"April 27, 2023",Charge dropped against man seen being beaten by D.C. firefighters
"April 26, 2023","D.C. firefighters caught on video in altercation, department investigating"
"April 26, 2023","D.C. police chief Robert Contee is retiring, will take job with FBI"
"April 26, 2023",Teen guilty in shooting of Commanders player Robinson back in custody
"April 26, 2023",D.C. settles suit brought by 2 journalists detained during Trump inauguration
"April 25, 2023",Special grand jury to probe police shooting of unarmed man near Tysons
"April 24, 2023","Motorcyclist dies after three crashes, Virginia police say"
"April 22, 2023",One dead in fire at Northeast Washington apartment building
"April 21, 2023","Eight shot at two sites in Southeast Washington, police say"
"April 21, 2023",Three found dead after vehicle plunges into Anacostia River
"April 21, 2023","Man was followed from check-cashing business before he was killed, police say"
"April 21, 2023","Man fatally shot in Southeast Washington, D.C. police say"
"April 21, 2023","One year after a school shooting in D.C., a survivor reclaims his life"
"April 21, 2023",No charges to be filed against D.C. officer in 2022 fatal shooting of woman
"April 21, 2023",Off-duty D.C. police sergeant killed in motorcycle crash
"April 20, 2023",Prosecutors say no charges against man who stabbed suspected carjacker
"April 20, 2023",Internal report clears officers of wrongdoing in Swann Street arrests
"April 20, 2023",Quantico Marine Corps Base briefly shelters in place over car backfire
"April 20, 2023",Man fatally shot on Rhode Island Avenue in Northwest Washington
"April 20, 2023",Discovery of mystery canisters shuts part of D.C.’s Fort Totten Park
"April 19, 2023","Man threatens Md. parishioners with machete, yells racial slurs, police say"
"April 19, 2023","Shot fired during attempted carjacking in MGM garage, police say"
"April 19, 2023","Robbers take car and cat on Capitol Hill, police say"
"April 18, 2023",Family denounced police over grand jury declination in shooting near Tysons mall
"April 18, 2023","McGrath didn’t book plane tickets to Md. before trial, court documents say"
"April 18, 2023",D.C. police staffing reaches half-century low as homicides rise
"April 18, 2023",Man arrested in fatal stabbing after dispute on Metrobus in Wheaton area
"April 18, 2023","Children sickened with drugged candy at Rockville school, police say"
"April 21, 2023","Eight shot at two sites in Southeast Washington, police say"
"April 21, 2023",Three found dead after vehicle plunges into Anacostia River
"April 21, 2023","Man was followed from check-cashing business before he was killed, police say"
"April 21, 2023","Man fatally shot in Southeast Washington, D.C. police say"
"April 21, 2023","One year after a school shooting in D.C., a survivor reclaims his life"
"April 21, 2023",No charges to be filed against D.C. officer in 2022 fatal shooting of woman
"April 21, 2023",Off-duty D.C. police sergeant killed in motorcycle crash
"April 20, 2023",Prosecutors say no charges against man who stabbed suspected carjacker
"April 20, 2023",Internal report clears officers of wrongdoing in Swann Street arrests
"April 20, 2023",Quantico Marine Corps Base briefly shelters in place over car backfire
"April 20, 2023",Man fatally shot on Rhode Island Avenue in Northwest Washington
"April 20, 2023",Discovery of mystery canisters shuts part of D.C.’s Fort Totten Park
"April 19, 2023","Man threatens Md. parishioners with machete, yells racial slurs, police say"
"April 19, 2023","Shot fired during attempted carjacking in MGM garage, police say"
"April 19, 2023","Robbers take car and cat on Capitol Hill, police say"
"April 18, 2023",Family denounced police over grand jury declination in shooting near Tysons mall
"April 18, 2023","McGrath didn’t book plane tickets to Md. before trial, court documents say"
"April 18, 2023",D.C. police staffing reaches half-century low as homicides rise
"April 18, 2023",Man arrested in fatal stabbing after dispute on Metrobus in Wheaton area
"April 18, 2023","Children sickened with drugged candy at Rockville school, police say"
"April 17, 2023","Man slain in Prince George’s, police say"
"April 17, 2023",Fairfax grand jury declines to indict officer who killed man near Tysons
"April 17, 2023",Fairfax police investigate death of woman found shot in car at hospital
"April 17, 2023",EPA investigator named as new U.S. Park Police chief
"April 16, 2023","Young girl shot and wounded Sunday in Southeast D.C., police say"
"April 16, 2023","Man, woman fatally shot in D.C. this weekend, police say"
"April 15, 2023",Md. judge quietly negotiated job with prosecutors while hearing cases
"April 14, 2023",Fairfax County teacher accused of sexual contact with student
"April 14, 2023","Mother of 6-year-old who shot Va. teacher wants plea deal, lawyer says"
"April 14, 2023","D.C. Metro shooting suspect exaggerating mental issues, psychologist says"
"April 14, 2023",Md. gun range owner pleads not guilty in alleged machine gun scheme
"April 14, 2023","Suspected carjacker gets stabbed, crashes stolen car and dies, D.C. police say"
"April 14, 2023","‘Suspicious’ bus used in attempt to pick up child, Fairfax police say"
"April 14, 2023",A D.C. mom showed her son victims of gun violence. Then he became one.
"April 14, 2023","Assault-style rifle seized from truck headed to Capitol, police say"
"April 13, 2023",Man charged with murder in 2020 homicide in Prince George’s County
"April 13, 2023",Man fatally shot inside McDonald’s in the District
"April 13, 2023",False calls of active shooters prompt shelter orders at D.C. universities
"April 13, 2023","D.C. man slain after funeral was carrying things to hearse, uncle says"
"April 12, 2023","Baltimore man charged with murder in Capitol Heights shooting, police say"
"April 11, 2023",Suspect detained after barricade at Arlington bank with customers inside
"April 11, 2023","1 killed, 3 wounded in shooting outside D.C. funeral home"
"April 11, 2023","Trains resume between Maryland and Washington, Amtrak says"
"April 11, 2023",Former assistant principal investigated over teacher’s shooting by 6-year-old
"April 11, 2023",D.C. police make arrest in January homicide
"April 11, 2023",Montgomery County police probe killing of 20-year-old man
"April 11, 2023","Md. man fatally shot in Montgomery County, police say"
"April 11, 2023","Man fatally stabbed after exiting Metrobus in Maryland, police say"
"April 11, 2023","Man fatally shot in Prince George’s County, police say"
"April 11, 2023","Man killed in Prince George’s shooting, police say"
"April 11, 2023","Popular handgun fires without anyone pulling the trigger, victims say"
"April 10, 2023","Va. trooper spoke with abduction victim before deadly I-95 shootout, police say"
"April 10, 2023",Mother charged in case of Va. 6-year-old who shot teacher at school
"April 9, 2023","Man fatally shot in Southeast Washington, police say"
"April 9, 2023","After U.S. marshals fatally shoot D.C. man, caravan drives for justice"
"April 9, 2023","ATV driven by boy, 7, crashes, killing 5-year-old girl, police say"
"April 8, 2023",A 17-year-old murdered 3 people. Have 34 years in prison been enough?
"April 7, 2023",Prosecutors weigh charging YouTube prankster who was shot in Va. mall
"April 7, 2023",Two youths stabbed and wounded at Fairfax County Walmart
"April 7, 2023",Texts between D.C. police and Proud Boys head shown at Jan. 6 trial
