neg,neu,pos,compound,Headline,Date of Post
0.344,0.656,0.0,-0.6369,"Man fatally shot in Prince George’s County, police say","October 20, 2023"
0.32,0.68,0.0,-0.5106,Va. fentanyl dealer gets two-and-a-half years in prison,"October 20, 2023"
0.29,0.71,0.0,-0.6705,Police say Md. judge was killed in ‘targeted attack’ after custody hearing,"October 20, 2023"
0.507,0.493,0.0,-0.802,"Baltimore firefighter killed, four others injured in rowhouse blaze","October 20, 2023"
0.31,0.69,0.0,-0.6705,"Man killed, officer wounded in exchange of gunfire in Southeast D.C.","October 20, 2023"
0.333,0.667,0.0,-0.6705,"Washington County Circuit Court judge killed in Md., official says","October 19, 2023"
0.0,1.0,0.0,0.0,Woman slain Saturday outside D.C. sports bar,"October 19, 2023"
0.401,0.599,0.0,-0.7717,Officer nearly killed by speeding driver tried to stop him months earlier,"October 19, 2023"
0.0,1.0,0.0,0.0,D.C. U.S. attorney prosecuting more cases in 2023 than in year earlier,"October 19, 2023"
0.448,0.552,0.0,-0.7579,"Woman charged with murder in shooting at Herndon, Va. home","October 19, 2023"
0.209,0.62,0.171,-0.128,Officer admits to covering up crash after unauthorized Georgetown chase,"October 19, 2023"
0.37,0.63,0.0,-0.5719,"Police officer struck, critically injured on I-270 in Montgomery County","October 18, 2023"
0.0,0.769,0.231,0.5106,‘Frivolous’ v. ‘No trust here.’ Rift grows over Maryland judge’s job swap,"October 18, 2023"
0.388,0.612,0.0,-0.6908,"Four charged in death of woman found in Montgomery, police say","October 17, 2023"
0.29,0.71,0.0,-0.6705,D.C. records four homicides in 24 hours as killings continue to climb,"October 17, 2023"
0.286,0.714,0.0,-0.4939,"Carjackers sold stolen vehicles to undercover police, authorities say","October 17, 2023"
0.0,1.0,0.0,0.0,Man critically wounded in Northeast Washington shooting,"October 16, 2023"
0.296,0.704,0.0,-0.6369,Man fatally shot in shopping center parking lot in Northeast Washington,"October 16, 2023"
0.178,0.822,0.0,-0.3818,"About 50, not 300, were in crowd of Tenleytown Wawa fight, police say","October 16, 2023"
0.535,0.465,0.0,-0.8481,Girl killed in Mother’s Day shooting victim of feuding neighborhood gangs,"October 16, 2023"
0.536,0.464,0.0,-0.7964,D.C. police arrest suspect in fatal shooting in Southeast Washington,"October 16, 2023"
0.178,0.822,0.0,-0.3818,Fight at Tenleytown Wawa prompts police to disperse as many as 300 youths,"October 16, 2023"
0.371,0.629,0.0,-0.6486,"Three men charged in March fatal shooting, Pr. George’s police say","October 13, 2023"
0.344,0.656,0.0,-0.6369,"Man fatally shot in Northeast Washington, D.C. police say","October 13, 2023"
0.196,0.804,0.0,-0.296,"Police charge teen, seek second suspect in Morgan State shooting","October 13, 2023"
0.394,0.606,0.0,-0.7579,"Teen charged with murder of family member in Pr. George’s, police say","October 13, 2023"
0.099,0.901,0.0,-0.0258,"Man sentenced to 25 years for strangling woman, Maryland officials say","October 13, 2023"
0.0,0.701,0.299,0.5719,D.C. area boosts security on Friday after call for Hamas ‘day of rage’,"October 13, 2023"
0.234,0.469,0.297,0.0516,Fairfax special grand jury indicts officer who killed man near Tysons mall,"October 13, 2023"
0.0,1.0,0.0,0.0,"Man shoots two people he says robbed him in D.C., police say","October 12, 2023"
0.427,0.393,0.18,-0.6597,"At House subcommittee hearing, agreement that D.C.’s in a crime crisis","October 12, 2023"
0.241,0.759,0.0,-0.5423,"Once again, House GOP members plan to take aim at D.C. crime","October 12, 2023"
0.412,0.588,0.0,-0.6369,Police identify woman fatally shot in Laurel,"October 11, 2023"
0.0,1.0,0.0,0.0,Morgan State to limit open access to campus after shooting,"October 10, 2023"
0.323,0.677,0.0,-0.7351,Man charged in killing of woman who was found shot in car at Va. hospital,"October 10, 2023"
0.554,0.357,0.089,-0.8316,Longtime D.C. criminal defense lawyer indicted on sex assault charges,"October 10, 2023"
